id,type,name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,users_rated,average_rating,bayes_average_rating,total_owners,total_traders,total_wanters,total_wishers,total_comments,total_weights,average_weight
136420,boardgame,Monsterfalle Mitbringspiel,2013,2,4,15,15,15,5,3,6,0,27,1,1,1,4,0,0
5763,boardgame,Home Sports Trivia: Texas Rangers Edition,1985,2,2,60,60,60,10,0,0,0,1,0,0,1,0,0,0
94916,boardgame,Zed Deck,2011,1,1,5,5,5,12,35,6.74,5.54256,78,1,1,17,22,4,1
34123,boardgame,Race Through Space,0,2,4,15,15,15,5,1,6,0,3,0,0,0,2,1,2
38631,boardgame,Peter Aces his Final Exam,2006,2,0,0,0,0,0,2,6.75,0,2,0,0,0,1,1,2
132560,boardgame,Snype,2012,2,2,20,20,20,8,1,5,0,0,0,0,0,1,0,0
138787,boardgame,Industry Giants,2013,1,4,120,120,120,0,0,0,0,1,0,1,10,0,0,0
36271,boardgame,Age of Enlightenment,2008,2,4,0,0,0,0,3,5.66667,0,3,0,1,1,0,0,0
102197,boardgame,Cookie Fu: Grandmaster Chi Battles,2011,2,2,10,10,10,13,8,4.5625,0,44,4,0,3,5,1,1
209322,boardgame,Sabbat Magica,2016,2,4,60,60,60,13,24,7.47083,0,27,0,1,21,7,2,4
149300,boardgame,ConSTARlations,2014,2,4,10,10,10,10,0,0,0,1,0,0,0,0,0,0
174475,boardgame,Hunting Questions: For Children,0,2,6,60,30,60,9,0,0,0,1,0,0,0,0,0,0
176630,boardgame,Be My Valentine,2015,4,9,30,15,30,8,6,5.91667,0,12,0,0,1,3,2,1
27898,boardgameexpansion,Agincourt,2009,2,2,60,60,60,12,78,6.25513,5.55847,414,15,6,16,56,17,2.4706
153945,boardgame,Bürgermeisterspiel: Werde Bürgermeister in Bremerhaven,0,2,6,100,100,100,8,0,0,0,0,0,0,1,0,0,0
40144,boardgame,Loose Change,0,2,6,20,20,20,0,0,0,0,9,0,1,1,0,1,1
